prompt,mood,era,content_genres,tags
A young woman in a green floral dress sits at an outdoor cafe table in a sunlit Mediterranean village; a coffee cup rests in front of her as she rests her chin on a gloved hand,romantic,1950s,romance|literary|historical,woman|cafe|coffee|mediterranean|outdoor|gloves|smile
A couple sits across from each other at a park-side cafe table; the woman in a yellow dress laughs softly while the man sips from a glass tankard,joyful,1940s,romance|literary,couple|cafe|park|laughter|drink
Two women in summer dresses linger at a flower market beside a yellow tram; one holds a basket of fresh fruit while orange light slants through cherry blossoms,nostalgic,1930s,romance|literary|historical,women|market|tram|fruit|flowers|spring
A blue Mediterranean cove with empty wooden cafe chairs at the waters edge; flowering vines spill over a stone archway and a small sailboat floats just offshore,contemplative,timeless,literary|travel|memoir,sea|cafe|empty|tranquil|coastal|flowers
A solitary woman in a pale dress reads a book under a striped awning at a Parisian sidewalk cafe; a small dog dozes at her feet,contemplative,1950s,literary|memoir|romance,woman|reading|cafe|paris|dog|solitude
A man in a tan suit cycles across a cobbled Paris square at golden hour; cafe terraces unfold behind him beneath the building facades,wistful,1940s,literary|travel|romance,man|bicycle|paris|cobbles|cafe|golden-hour
A young woman in a green dress accepts a red apple from a smiling man at a vintage fruit stall while a yellow tram passes behind them,romantic,1940s,romance|literary,couple|market|tram|apple|gift|street
A vintage cream-colored tram waits at a flower-lined Italian street stop while well-dressed pedestrians pause to watch it pass,nostalgic,1930s,historical|literary,tram|street|crowd|italy|flowers
An elegant woman in a blue silk evening gown stands alone on a wide Parisian terrace overlooking the city at dusk,contemplative,1940s,romance|literary|historical,woman|evening|terrace|paris|dusk|solitude
A family of four picnics on a checked blanket beside a stone bridge; a wicker basket overflows with bread and fruit,joyful,1950s,family|literary|memoir,family|picnic|countryside|bridge|food
Two friends in flowing summer dresses walk arm-in-arm through a sunlit lavender field with distant Provence farmhouses,joyful,timeless,literary|travel|romance,friendship|lavender|provence|countryside|women
A man and woman embrace at the railing of an ocean liner at twilight; the wake spreads behind them under a violet sky,romantic,1930s,romance|literary|historical,couple|ship|ocean|farewell|twilight
An older woman in a navy housecoat tends potted geraniums on a sunlit Italian balcony with laundry strung overhead,quiet,1950s,literary|memoir,woman|balcony|flowers|italy|domestic
A child in a red coat chases pigeons across the wet flagstones of Saint Marks Square at dawn,joyful,1950s,memoir|literary|family,child|venice|pigeons|square|dawn
A bride in a long white veil descends the steps of a small village church into a shower of rice and rose petals,joyful,1950s,romance|memoir|family,bride|wedding|church|village|celebration
A weary fisherman in oilskins mends his nets beside a small wooden boat hauled up on a Cornish slipway,contemplative,timeless,literary|memoir,fisherman|boat|nets|coast|labor
A young woman in a polka-dot dress runs along a sunlit beach holding her wide sun hat against the wind,joyful,1950s,romance|literary|memoir,woman|beach|wind|hat|summer
A grandmother and small child knead dough together on a flour-dusted wooden kitchen table; sunlight pours through a curtained window,warm,1950s,family|memoir|literary,grandmother|child|kitchen|baking|domestic
A man in a fedora reads a newspaper at the counter of a chrome-trimmed American diner while a waitress refills his coffee,quiet,1950s,literary|noir|memoir,man|diner|newspaper|coffee|waitress
A woman in a red trench coat hails a black taxi on a rain-slicked London street as evening lamps flicker on,solitary,1950s,literary|noir|romance,woman|rain|london|taxi|coat|night
A couple slow-dances cheek-to-cheek under paper lanterns in a flagstone village square at a summer festival,romantic,1950s,romance|literary|memoir,couple|dance|festival|village|lanterns|summer
A young man in shirtsleeves writes letters at a wooden desk in a sunlit attic study; a fountain pen rests beside an inkwell,contemplative,1940s,literary|memoir,man|writing|study|attic|letters|sunlight
A woman in mourning black places a single white rose on a marble grave in a misty cemetery,mournful,1950s,literary|drama|historical,woman|mourning|grave|rose|cemetery|grief
A boy and his dog race a wooden hoop down a sloping cobbled lane lined with flowering window boxes,joyful,1940s,family|memoir|literary,boy|dog|childhood|cobbles|play
A market vendor in a striped apron hands a paper twist of cherries to a small girl in a yellow dress at a Provence farmers market,warm,1950s,family|memoir|literary,market|vendor|child|cherries|provence
Two old men play chess at a rickety table in a sun-dappled village square while pigeons strut nearby,quiet,1950s,literary|memoir,men|chess|square|village|pigeons|leisure
A woman in evening dress watches a thunderstorm from the open balcony doors of a candlelit Tuscan villa,contemplative,1940s,romance|literary|drama,woman|storm|balcony|villa|candles|tuscany
A young couple shares a single ice cream cone on a stone bench overlooking a glittering Italian harbor,romantic,1950s,romance|literary|memoir,couple|harbor|ice-cream|italy|summer
A fisherwoman in a striped headscarf carries a heavy wicker basket of glistening sardines up wet harbor steps,laboring,1940s,literary|memoir,woman|harbor|fish|labor|coast
