prompt,mood,era,content_genres,tags
A weather-beaten man stands on a sun-bleached savanna at dawn holding a hand-carved spear; tall grasses ripple in the wind and antelope graze in the distance,solitary,prehistoric,historical|adventure|literary,man|savanna|spear|dawn|wilderness|prehistoric
A snowbound Neolithic village of conical thatched huts beneath a fog-veiled mountain peak; smoke rises from chimneys into a steel-blue dawn,desolate,prehistoric,historical|adventure|literary,village|snow|huts|mountain|prehistoric|fog
Earth viewed from low orbit at night; the lights of Europe and the Mediterranean glow gold against the deep blue ocean and starfield,majestic,modern,sci-fi|literary|nature,earth|space|orbit|night|stars|planet
A burning planet engulfed in roiling lava and crimson clouds against a black starfield; flares spiral off its limb,apocalyptic,timeless,sci-fi|thriller|literary,planet|fire|space|cataclysm|stars
A grim-faced detective in a wet trench coat stands in the headlights of a parked sedan on a rain-slicked midnight bridge,tense,1950s,noir|thriller|crime,detective|rain|bridge|night|coat|car
A soldier in muddy fatigues lights a cigarette in the trench at dawn; his rifle leans against the sandbagged wall behind him,exhausted,1940s,historical|war|literary,soldier|trench|cigarette|dawn|war
A lone hiker in a red windbreaker stands on a granite ledge above a sea of misted alpine peaks at sunrise,awestruck,modern,memoir|adventure|literary,hiker|alps|sunrise|mist|wilderness
A nurse in a white uniform leans against a tiled hospital corridor wall under a flickering fluorescent light,exhausted,modern,drama|literary|medical,nurse|hospital|corridor|fluorescent|tired
A young woman stands at a rain-streaked train carriage window watching the green countryside blur past,contemplative,modern,literary|romance|memoir,woman|train|window|rain|countryside
A widower sits alone at the end of a long dining table holding a folded letter; a half-eaten plate of food cools before him,grief,modern,drama|literary|memoir,man|dinner|grief|letter|solitude
A surfer paddles into the green wall of a perfect dawn wave off a deserted Pacific coast,exhilarated,modern,memoir|adventure,surfer|wave|dawn|ocean|sport
A tired father holds a sleeping newborn against his bare chest in a moonlit nursery,tender,modern,family|memoir|drama,father|baby|nursery|moonlight|tender
A homicide detective examines a chalk outline on a wet alley pavement under the harsh glare of a single streetlamp,tense,modern,noir|thriller|crime,detective|alley|crime-scene|night|streetlamp
A combat medic crouches beside a wounded comrade in the dust of a Middle-Eastern street as flares streak the night sky,tense,modern,war|thriller|drama,medic|wounded|war|night|flares
A defense attorney in a charcoal suit stands at a courtroom podium beneath dark wood paneling addressing an unseen jury,resolute,modern,legal|drama|thriller,attorney|courtroom|podium|trial|legal
A cellist performs alone on a dimly lit concert-hall stage; a single spotlight cuts through the darkened auditorium,solitary,modern,literary|drama|romance,cellist|concert|stage|spotlight|music
A widow in a black coat stands alone at a winter graveside in a snowy New England cemetery at dusk,grief,modern,drama|literary|memoir,widow|grave|snow|cemetery|grief
A young woman in a yellow sundress walks barefoot along a deserted Pacific beach at golden hour,reflective,modern,romance|literary|memoir,woman|beach|sundress|golden-hour|solitude
A farmer surveys his drought-cracked Kansas wheat field beneath a vast pale sky,worried,modern,drama|literary|memoir,farmer|drought|field|kansas|landscape
A homeless man warms his hands over a steel barrel fire in a snowy New York alley at midnight,solitary,modern,drama|literary|noir,homeless|fire|alley|new-york|winter
A surgeon in pale blue scrubs scrubs in at a stainless steel sink beneath the bright lights of an operating-room corridor,focused,modern,medical|drama|thriller,surgeon|hospital|scrub|operating-room|professional
A fly-fisherman wades thigh-deep into a glassy mountain river at dawn; mist rises from the water under towering pines,quiet,modern,memoir|adventure|literary,fisherman|river|dawn|mountain|fishing
A teenage girl stares out a rainy classroom window at a dripping schoolyard while her teacher writes on a chalkboard behind her,wistful,modern,coming-of-age|literary|drama,teen|classroom|rain|window|school
A woman in a black evening gown stands alone before a darkened gallery painting in an empty museum at closing time,contemplative,modern,literary|romance|drama,woman|museum|gallery|gown|art
A bartender wipes down the polished mahogany of an empty hotel bar at three in the morning; a single low lamp burns,tired,modern,literary|noir|drama,bartender|bar|night|hotel|empty
A homicide forensics tech bags evidence in a candlelit suburban living room while red and blue police lights pulse outside,tense,modern,crime|thriller|noir,forensics|crime-scene|evidence|police|night
A new mother holds her infant up to a hospital nursery window for the grandparents to see; reflections of city lights frame the glass,joyful,modern,family|memoir|drama,mother|baby|hospital|window|family
An astronaut stands at a control panel staring through a porthole at the curve of Earth; the cabin glows with soft blue light,awestruck,modern,sci-fi|literary|adventure,astronaut|spaceship|earth|porthole|space
A storm chaser leans into the wind of an open Kansas plain as a tornado funnel descends from a sickly green sky,terrified,modern,thriller|adventure|drama,storm|tornado|chaser|plains|sky
A grandmother in an apron lifts a casserole from a worn oven in a sunlit suburban kitchen; family photos crowd the refrigerator,warm,modern,family|memoir,grandmother|kitchen|cooking|domestic|family
A war correspondent in a flak vest and helmet types on a battered laptop at a candlelit hotel desk in a battle-damaged city,resolute,modern,war|drama|thriller,journalist|laptop|war|hotel|night
A young couple shares headphones on a city park bench at dusk while skyscraper lights bloom behind them,intimate,modern,romance|literary|memoir,couple|park|headphones|dusk|city
A homicide detective interviews a tearful witness across a bare table in a fluorescent-lit precinct interrogation room,tense,modern,crime|thriller|noir,detective|interrogation|witness|precinct|fluorescent
A construction worker in a yellow hard hat stands on a high steel beam at sunrise above a half-built city skyline,resolute,modern,drama|literary|memoir,worker|construction|skyline|sunrise|height
A young rabbi in a black coat lights Shabbat candles at a white-clothed dining table while his children watch,reverent,modern,family|memoir|literary|religious,rabbi|shabbat|candles|family|tradition
A retired couple holds hands on the porch of a clapboard New England farmhouse watching autumn maples drop leaves,tender,modern,family|memoir|romance,couple|porch|autumn|farmhouse|elderly
A woman in a gray business suit stands alone on a glass skyscraper terrace overlooking the lit grid of a midnight city,confident,modern,drama|literary|romance,woman|skyscraper|city|night|business
A field biologist crouches beside a tagged grizzly bear cub in a misty Alaskan riverbed at dawn,focused,modern,memoir|adventure|literary|nature,biologist|bear|alaska|river|wildlife
A father teaches his small daughter to ride a bicycle in a tree-lined suburban cul-de-sac at golden hour,tender,modern,family|memoir,father|daughter|bicycle|suburb|golden-hour
A young woman in a hijab studies a medical textbook beneath a single brass lamp at a wooden library carrel,focused,modern,literary|memoir|drama,woman|library|study|medical|professional
A lone climber clings to an overhanging Yosemite granite face hundreds of feet above a forested valley,terrified,modern,adventure|memoir|literary,climber|yosemite|granite|height|wilderness
A defense lawyer leans across a metal table to whisper to her shackled client in a fluorescent-lit jail visit room,tense,modern,legal|drama|thriller,lawyer|client|jail|visit|legal
A small-town diner waitress refills coffee for a long-haul trucker at dawn while neon signs glow through fog outside,quiet,modern,literary|memoir|noir,waitress|diner|trucker|dawn|americana
A grandfather and grandson assemble a model airplane on a worn wooden workshop bench under a tin-shaded lamp,warm,modern,family|memoir,grandfather|grandson|model|workshop|tradition
A firefighter carries a small dog out of a smoke-filled doorway as embers swirl in the night air,heroic,modern,drama|thriller|memoir,firefighter|dog|fire|rescue|night
A young woman in a leather jacket leans against a Triumph motorcycle at a desert gas station under a wide turquoise sky,free,modern,memoir|adventure|romance,woman|motorcycle|desert|gas-station|freedom
A pediatric oncologist crouches eye-level with a bald young patient in a brightly painted hospital corridor,tender,modern,medical|drama|memoir,doctor|child|hospital|cancer|tender
A husband sits alone at his dying wife's hospital bedside holding her thin hand under low fluorescent light,grief,modern,drama|memoir|family,husband|wife|hospital|bedside|grief
A young photojournalist crouches in a dusty Syrian alley to photograph a child sitting beside rubble,resolute,modern,war|drama|memoir,photographer|war|syria|child|rubble
A black labrador retriever splashes through shallow surf chasing a thrown stick at sunset,joyful,modern,family|memoir,dog|beach|sunset|play
A woman steps onto a New York sidewalk from a yellow taxi at dawn carrying a single suitcase,bittersweet,modern,literary|romance|drama,woman|taxi|new-york|suitcase|dawn|arrival
An elderly Italian fisherman mends a net on the stone quay of a small Mediterranean harbor at dawn,quiet,modern,memoir|literary,fisherman|harbor|nets|mediterranean|dawn
A young chef plates a dish under the pass-through lights of a busy restaurant kitchen at dinner service,focused,modern,drama|memoir|culinary,chef|kitchen|restaurant|service|professional
A teenage boy stands on a high suburban rooftop at twilight gazing at the lit windows of houses below,solitary,modern,coming-of-age|literary|drama,teen|rooftop|twilight|suburb|solitude
A young veteran in fatigues holds his small son for the first time in an airport arrivals hall surrounded by flags,emotional,modern,family|memoir|war,veteran|son|airport|reunion|flags
A widow sorts through her husbands old letters by the firelight of a stone hearth in a snowy farmhouse,grief,modern,drama|memoir|literary,widow|letters|fireplace|farmhouse|memory
A scientist in a white lab coat examines a glowing slide through a binocular microscope in a dim laboratory,focused,modern,sci-fi|drama|literary,scientist|microscope|laboratory|professional
A young couple stands at the railing of a rusting cargo ferry watching the lights of an approaching foreign port,hopeful,modern,literary|romance|travel,couple|ferry|port|night|arrival
A homicide detective drives a black sedan through a torrential nighttime rainstorm; the wipers thump and red taillights smear,tense,modern,crime|thriller|noir,detective|car|rain|night|driving
An actress in stage costume waits in the wings of a darkened theatre listening to dialogue from the lit stage,nervous,modern,drama|literary|memoir,actress|theatre|wings|stage|performer
